X1,FILE_ID,ROMANIZED_TITLE,AUTHOR_LAST,AUTHOR_FIRST,DATE,GENRE,NARRATOR,IK_ENT,thought,textlength,pronouns,YulesK,YulesI,GuiraudC,ttr_mean,ttr_sd,ttr_norm,ttr_cumsum,ent_mean,ent_sd,ent_norm,ent_cumsum,nonpara_ent,period,punct,stopword
94,R_scn_027,Jiulvmei,Ye ,Lingfeng,1928,ROMANTIC,0,5.526204223,0.011492281,5830,0.044939966,167.1417629,59.8294515,0.250626566,0.419213336,0.014921037,0.003137527,0.69,5.167363658,0.070729056,0.107529756,0.214,5.526204223,0.033248082,0.161357824,0.467100674
95,R_scn_028,Guochou,Ye ,Lingfeng,1928,ROMANTIC,0,7.271321346,0.006293549,4449,0.013261407,117.98222,84.75853399,0.250755287,0.473373839,0.011186341,0.020691459,1,5.439654242,0.026838777,0.177710418,0.688,7.271321346,0.035814388,0.170974774,0.44534413
96,R_scn_029,Dianyi,Ye ,Lingfeng,1927,ROMANTIC,1,7.427693848,0.012994862,3309,0.041402236,137.990392,72.46881362,0.251199616,0.450836212,0.009190125,0.02466555,1,5.393761335,0.03646564,0.197340794,1,7.427693848,0.03011803,0.150997151,0.504680505
97,R_scn_030,Feibingchuqihuanzhe,Ye ,Lingfeng,1927,ROMANTIC,0,6.516750263,0.011031798,7705,0.052303699,120.8386864,82.75495455,0.250202675,0.437421983,0.017819274,0.014435789,0.864,5.342232415,0.122795474,0.111607456,0.586,6.516750263,0.034429862,0.156638827,0.48457474
98,R_scn_031,Chunvdemeng,Ye ,Lingfeng,1928,ROMANTIC,1,6.706558523,0.0122074,7946,0.04870375,154.6229376,64.67345759,0.250403063,0.436647383,0.03263388,0.015246173,0.964,5.312486174,0.092518785,0.151163525,0.892,6.706558523,0.039614017,0.156593872,0.517860166
99,R_scn_032,Aidezhanshi,Ye ,Lingfeng,1928,ROMANTIC,1,5.954961447,0.007977355,3886,0.053010808,191.5011227,52.21901502,0.251217532,0.356480151,0.006192337,0.019376265,1,5.141167713,0.032414694,0.11134349,0.464,5.954961447,0.047396529,0.174899866,0.53271028
100,R_scn_033,Aidejiangzuo,Ye ,Lingfeng,1928,ROMANTIC,1,5.155041253,0.004173355,3115,0.036918138,245.5441397,40.72587524,0.250369276,0.37152436,0.01596384,0.007620063,1,4.985134334,0.113977799,0.101440103,0.502,5.155041253,0.043998291,0.128150363,0.556172576
101,R_scn_052,Beibinqizhe,Bai ,Cai,1923,ROMANTIC,1,7.675283643,0.005841446,7190,0.07162726,162.5084255,61.53527099,0.250219202,0.44488467,0.029749405,0.012527128,0.69,5.210827044,0.110555929,0.11252304,0.426,7.675283643,0.016441899,0.154997229,0.521891742
102,R_scn_053,Weisheng,Bai ,Cai,1923,ROMANTIC,1,6.907755279,0.008246683,2789,0.076371459,173.6762682,57.57839055,0.250570776,0.450304923,0.006142783,0.027488086,1,5.186469588,0.055519745,0.168532353,0.502,6.907755279,0.045845272,0.159025788,0.536294174
103,R_scn_036,Liulang,Wang ,Yiren,?,ROMANTIC,1,6.706558523,0.008732279,9734,0.046948839,199.2048445,50.19958237,0.250040122,0.481462564,0.015253537,0.006048199,0.276,5.251681301,0.070902692,0.028283196,0.256,6.706558523,0.022871665,0.117605534,0.512494706
104,R_scn_034,Wodegongzhuang(daixu),Wang ,Yiren,?,ROMANTIC,1,6.223202954,0.013289938,3687,0.037157581,199.4481698,50.13833924,0.250655594,0.425602832,0.007210965,0.012416867,1,5.320358513,0.034385042,0.061559815,1,6.223202954,0.012977382,0.150537634,0.501297738
105,R_scn_035,Shenyoubingzhe,Wang ,Yiren,1924,ROMANTIC,0,8.856096512,0.009002585,11219,0.041714948,169.8931789,58.86051499,0.250787289,0.474868414,0.026972898,-0.000378222,0.812,5.267888297,0.089248315,0.075915312,0.682,8.856096512,0.038238842,0.155247286,0.474306393
106,R_scn_037,Luopo,Wang ,Yiren,?,ROMANTIC,1,7.048729877,0.008376145,8954,0.047018092,179.8804971,55.59246367,0.25,0.510610165,0.010975331,0.017092345,0.674,5.407047105,0.06506456,0.089857029,0.058,7.048729877,0.016408387,0.13202674,0.483135825
107,R_scn_038,Guyan,Wang ,Yiren,<U+FF1F>,ROMANTIC,1,8.03227358,0.006892506,6819,0.043994721,190.8257731,52.4038228,0.250410124,0.517456143,0.030801978,0.019130183,0.08,5.341336669,0.096869606,0.111390994,0.216,8.03227358,0.027,0.1426,0.476
